text,label
"would be REALLY happy right now if Philippe would do &quot;the robot&quot; while donning the oven mitt. Instead, he's using it to remove a pot pie",negative
@Dichenlachman the doorknobs have more germs than the toilet seats according to research.  Yucky yuck yuck!,negative
Bored as hell...got nothin to do!!!!!,negative
@BlakeeL Spa!!!so jealous..i could do with some pampering myself right now.too much studying is just not good for the stress levels  ENJOY,positive
having a really bad start to the week!!!,negative
Out for coffee with @mitchelmusso... &lt;3 you!,positive
"@Thenardier Yeah, but thought they were minor &amp; they covered themselves with whole timeline change thing. I look forward to next one.",positive
#twit2busch test was successful  To all which are interested: http://twurl.nl/36awhm (but i think its only useable only for #php insiders),positive
"Hey @robluketic link did not work, had to search for you   (robluketic live &gt; http://ustre.am/2w5v)",positive
I think that Kate treated Jon like crap - ta da.  I'm sad for their family and all families that fall apart over lack of communication...,negative
worried about poor moose,negative
I hate going to sleep when the sun is coming up..nighty night,positive
iam sooo sick  ive been sleeping all day and havent studied for my spanish final! :/ greeeeaat,negative
@teenagedvow it's gonna be Tiananmen Square all over again.,negative
I'm really tired...and my eyes hurt,negative
Off work - ill,negative
@louizah Why they dont make movies like that anymore...i dont know! I've sang along...tapped along...definately a good time,positive
@nbh1987 I think I'm gonna be the last to see that movie,negative
twiter is confussssinnnggg me,negative
"&quot;I'm least bothered, least concerned&quot; (When actually the desire to know what-she-said-2u-on fone is driving me all nuts and pure insane",positive
@robertpwilkins i should have left them alone. now they hurt  so no run and adter i fianly had a shower and washed the paint off ...,negative
will be playing yoville and updating my accounts...cool stuffs...dreading school..so good 2 know it was postponed to 22,positive
@citrayahya hello there  your lunch looks good,positive
"@canladdie But you have a deck, and a basement. I have neither. The apartment doesn't cool off overnight, despite windows closed all day.",negative
"@benkowalewicz haha, i'll definetly come to one if you perform a show in Ottawa Ontario  Billy Talent's the best band EVER.",positive
eating my 4th ice cream cone!,negative
@Eminem You were class on Jonathan Ross,positive
@lauurreennn PLEASEEEEEEE!,negative
Wants milk tea...hold the boba please,positive
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed .,negative
sleep soon... i just hate saying bye and see you tomorrow for the night.,negative
@Todfilm uggh...they don't have the magazine content online...just overviews,negative
missin' the boo,negative
"@smoulderingsea You have my sympathy.  I feel the same way about dresses &amp; heels.  You'll survive, though.",positive
@JackAllTimeLow I touched your hand,positive
#formula1 woo well done Button,positive
@msdrama hey missed ya at the meeting  sup mama,negative
sooo excited about me trip next weekend....i can not wait to see Remedy Drive!!!!!!!!!!!!!!!!,positive
I miss peggy  Gonna cut my wrists with a spoon :S,negative
Morning morning ! There's such a beautiful day outside ... Sunny sunny sunday !  *,positive
"Note to self, don't buy Disney Singstar 2....listening to the wife and daughter singing using Disney Singstar 1 is torture enough",positive
"lol thanks, its confuzzling me. your msg about the big bro episodes reminds me of our late nights in the deen",negative
Just been swimming It was great  Raining! Kinda sad  I hate that weather,negative
"@jmiller112 my husband used to like G4. Now he likes what I like, I said.",positive
"If you tried twittercut [like me few hours ago   ]  please, change you password immediately!!!!  or you will loose your twitter account!",negative
@toniallday LMAO for real. No man deserves to be Adebisi'ed in the face like Eminem just did. All types of uncouth  #mtvmovieawards,negative
@SelfMade2K9 Yesssssssss!!,positive
Just got home from watching the Sharks lose game 2 of the Stanley Cup playoffs,negative
@jmstro Hi John - No am compulsive twitterer as long as I can get to computer or mobile!,positive
@FluerRezsabelle tmr's wednesday? hahahah sorry but i hv tuition  so i dont think so.,negative
@EmilyyBrowningg have fun!!oh...ur not gonna be on much right???Im gonna b alone   HAVE GREAT FUN!u earned it!!i mean..UNINVITED!!=p,negative
"@PhilStratton Self-promo indeed   Our current provider has been incredibly reliable, tho I don't have uptime stats. 3yr w/o major issues",positive
@peachesskalirai ...  gotta love Saturdays  what about you?,positive
Wearing my philippine flag as a cape. Why aren't there any asians on this side of campus?,negative
"@Live_for_Films Oh, bum.  I love that book. Hope they don't ruin it...",negative
"@LewisBostock very much so  You know I am coming now on Thursday too right, are there door sales ??",positive
"just played xbox, hungry now I dunno what to eat hmm lolz, watching borat ahah",positive
"@ddlovato if u need help in the Spanish,I can help u  I Love You Demi You're awesome... please reply me",positive
is gonna watch my little cherubs..online thanks to @KristinaaG,positive
Goodnight twitterrrr.,positive
@_santi hehehe not a problem. good morning. have a brilliant day,positive
wAtChing NBC &amp; TaUn pLayinG SiMs,positive
may the 4th be with you,positive
Only 3 more hours then I can go home. I'm not feeling too good right now.,negative
"@NickkkJonasss i cant wait 'tell you guys come to ottawa im going with my mom and dad, but i wish my bro could come i only got 3 tickets",negative
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,negative
"Aunty AM starts chemo next week...Tante Franske has diabetes...the family is disintegratin'...send TF a nice note, why dontcha?",positive
Reading for rest of night. Hope you all had a Happy moms day,positive
After eating breakfast and having a cold shower I feel much better  Got a lot of cleaning to do today.,positive
@Lighternyc,negative
**NOT FEELING TO GOOD  GOODNITE TWITTER CRITTERS**,negative
Half naked guys have arrived,negative
@clevercatsknit Saw Linnes Bakery but thought it not too veggie friendly. Don't worry; we'll find food.  Off to bed. See you in the AM.,positive
Off to Brussels tomorrow to help Jo - should be a laugh.  My boys say &quot;don't come back without any wine gums&quot; and I think they mean it,negative
@jeninblack and @EstelleEsme hello to you all  and i hope this works....,positive
im so embarrassed for you,positive
this #flocktome thingy really works  http://flocktome.com/,positive
@EtsyStalker  Thanks  I might make some puzzle piece magnets too.,positive
"is going to work. Although I would love enjoying the good weather a lot more. But after my moring walk with Gideon, I'm happy.",positive
Spending the day with friends again.,positive
AWSUM day for riding despite a dumbf*ck toyota SUV making me lock up my brakes. almost became a statistic today,positive
"I want to be in UK with @valeriemcfly @Marii_annaax  , Little Jo' , Transy' and Lilie",positive
i lost 2 followers...,negative
@erynsays ROFLMFAO! hahahaha thankyou  so i am guessing my coeliac disease ?,positive
0500 wake up.  gnnniight. Even tho my ass is still guna be up. wdf!,negative
prom was fuunnn :] 2 days til my birthday,positive
Awe  haha.,negative
oh? i guess i'll go ask pi then. or ryo. or koki. i'm sure they'd be more than willing. lend me your phone? i've got a few calls to make.,positive
Getting up early for the gym!  Hoping I get another phone call from James first.,positive
i hate this time of year  not seeing some people for 7+ weeks is just so hard,negative
today is a beautiful day,positive
"@ItsNeet things that mom does for you haha. Okay, brb, dinner on the table",positive
@iluvmycrushesx3 whoa. new username.  cool,positive
- at my grandmas eating good.,positive
i want a blackberry... tomorrow library day... again,negative
@iamjonathancook ricechex and milk,positive
still sic...,negative
oh sh!t i missed NB online,negative
"some girls look for drama, yet I am one that tries to hide from it. These past few months it looks like it has found me.",negative
One is Bored with nothing to do,negative
@addie_c haha I wonder what they're gonna play for us on Thursday? Maybe they'll reveal that it's miley on that song!! Hahah,positive
"Lol. Kristen stewart droping her golden popcorn on the mtv awards. so ps la! anyway, twilight owned the awards tis yr..  yay !",positive
trying to recover,negative
&quot;@patita: &quot;via@RonnieBebop.......... .......... good morning  @star45 thx 4 all the music&amp;props all these d... â« http://blip.fm/~7sxqs,positive
"Honesy bunches of oats with almods,than ZzZZZ. what a long,stupid ,non productice day lol. I just want my kisses  . Gnite twit fam!",negative
@PrettyRicci @devidev yea sucks  ..hope yall understand tho,negative
"off to schoool, todays the last full day  tomorrow &amp; fri r halfs &amp; finals! yay schools almost ovr!! deuces!",positive
Hmm in managerial accounting class,negative
@Darkartist yes but it isn't starbucks,positive
"@spectrummother my husband, an aspie, understands her well. he often translates for me   BUT, he works a lot, and need more translating!",positive
"@YahooGuy thank you for the #ff, I luv you guys  super customer service!!",positive
@keysgoround Aww  Well I'm sure you deserve it!,negative
Spending free time vegging in front of TV now instead of working on APUSH,positive
@cllllloneliness OHMYGAWDCLAUDELIA  i haven't watched it yet.... spoiler alerts next time pleeeaaseee.,negative
I'm thinkin' June might be kind to me..,positive
Getting ready to teach my 5th grade girls,positive
Love science fiction/tech movies! Star Trek and Iron Man in one day. Way to spend the day,positive
Thank you heaps for the #followfriday: @Sirjohn_writer @Neets68! See my next post for more thank youâs. I think I caught everyone.,positive
@CALLmeJUICY  ur amazing.,positive
I am so flattered to be one of @KOLD_news13's choices for #FollowFriday.   That is so nice!,positive
@MNphotog thanks. Appreciate the feedback.,positive
"@ChristinaHz no wayyy, that's too funny.  well he sure is missing out, but ever since you left, i feel i am too  when is your next visit?",negative
Signing out for the night! Hope everyone has a tweeterful evening!! See you on here tomorrow,positive
@OntarioDdubfan Ok!!! Will do   Should I text u???,positive
Going to play in the sun and have a fun bike ride with my bestest friend!,positive
@esmeg discover a whole new beautiful you,positive
@pink http://twitpic.com/4hc06 - soo cute,positive
"@jenrolton :O they're not invisible, sorry i was trying to find the elements vid",negative
@nerdydork LOL! the thing that sucks for me is that I almost got my nose pierced today but I couldn't since i'm not 16,negative
@jordanknight Happy Mother's Day to your mom and wife today,positive
Church is in 8 hours! I better hurry up so I can get some sleep!,positive
Been having computer problems. Some programs won't run so trying to de-bug the problem.,negative
"so busy/stressed/tired.  Night twitterworld. I'll leave you with: control yourself, take only what you need from it.",negative
"I fell asleep, in my chair. Haha.",positive
Ooooh I forgot about the downside to drinking  asprin anyone,negative
is watching the hill . . .and its making me sad,negative
I made a total ass of myself tonight... it always happens when I try to talk to gorgeous people,negative
@danlee29 I'm glad you were disappointed and the Lakers destroyed them.,positive
@ej_bishop what got swiped?,negative
I wish I'd fall faster.,negative
Good morning to the world,positive
"@CanarsieBK LOL! yeah. my bad. well, at least the londoners feel at home. we don't have that long until fall.",negative
@Nelawish,positive
@Fosmire Sounds to me like you both are!,positive
@rubybluedaisy LOL I've been here a while now. How are you? Weathers turning grey on way to Swindon.,negative
@usabart @nannes guys... this is not funny at all... I'm all nauseous now,negative
@CrunchyK Ewwww...I don't like grits,negative
happy note: lauryn hill makes me cream!!! sad note: im so mad dat da game has ended...it's ova...dun...&amp; no new episodes r bein made ahh,negative
"Afraiiiiiiiiiiiiid ;_; Having physic exam tomorrow and the prof, who tests me, is so scaryyyyy",negative
@RobNewBreedBass @ShaunSwagger LOL,positive
Baking banana bread and trying to figure out what Twitter is about - and whether or not I am going to dive in,positive
@chelsaya ouch! I feel bad for replying to a trending topic now.  but mucho love for you.,negative
is eating humble pie..,negative
@DameElaine Aw  It's almost over and then you will be free and feel like a new woman!,negative
"Notice Your Fear, And Get RID Of It!!! http://bit.ly/Dr7cI by@Serene_Balance great post as usual",positive
"So the weekend was over, and the nice weather is gone to! This will be a cuddle-up-inside-day",positive
@Lerou That's a pretty stupid quote from my view.,negative
@jonthebeef at least you're not speaking for 2 hours in 5 mins time,positive
is going to the mother-in-law's for dinner,positive
@NaNaByB NOOOOOOO THIS IS DEVASTATING NEWS!how u got sick in the summer?!?!,negative
@TannyaJoaquin So did I make a good impression on you?,positive
"Oh want so bad to see one of Beyonces show on her tour. But it's expensive, and I live in Norway so I have to travel",negative
@janicechiu ooohh!! yousa finally twittering!,positive
I was thinking you could help me get the word out in your blog/podcast. If you dont mind. Also hear about aussie internet filtering,negative
daddy my legs are tired  Time to fix some of the damage the previous owner did to the house,negative
"Yet another family Bbq, they arent fun anymore",negative
"Photo: liveincolor: ï¿½well, according to juliet. thatï¿½s holy palmers kiss.  http://tumblr.com/xgp1udaj9",positive
Is having HYSTERICS OVER THE NEW MOON Trailer!!!!!!!!!!!!!!!! OMG OMG OMG,positive
"why am i up at 6.30am? wtf, can't sleep anymore",negative
Can't wait to see photos and hear all about it.,positive
@kimkian Detox session starts from monday.  Now it's a party time! Heading off to a club soon.,positive
"@IanAspin Hiya, yes I'm running Bupa Gt North 10k on 12th July in aid of Rainbows Children's Hospice http://tinyurl.com/asdq66",positive
@ChiqueLife @spirit_kid The funny thing is that no one know she wrote the article because her byline was removed,negative
going to the store so hit it up ill answer on my fone,positive
just heard my grandpa is in the hospital again,negative
"outfit sorted... ended up going on a bar crawl yesterday and drank for 10 hours, now it's hangover time  !!!!",negative
Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers,negative
exam week  FML.,negative
@mikelombardo Watching the webcast. Awesome so far. \o/ Yay Dr. Horrible! Stupid work making me miss it.,negative
but i want to go to spain,negative
gettin ready to go out.... but really has no energy,negative
"Back from Soccer Jamboree, only 83 Degrees out today, that's much better than the 90 degrees it was earlier in the week.",positive
how come my phone won't let me upgrade its software?  it says 2.2.1 is the latest,negative
i WENT RUNNING TODAY!!,positive
@fragments77 Thanks Aki!  u rock!,positive
thanks for the follow @pinkpoodle_93 on this #SancuarySunday,positive
hey guys!!!! its june 3.. ugh thirteen more days til school..  im so bummed out.. ((,negative
gonna watch hatching pete which stars @mitchelmusso,positive
"@MoiraReid is making me write today.  *sigh* Although, it worked pretty well for me yesterday.",positive
hey girlies wht goin on hearing tngs bout Oz &amp; maybe no euro tour or new album,negative
@johnlloydtaylor it's probably because their beloved penguins are being murdered by our fantastic redwings,positive
@poprock i didn't see that thanks!  No Scottish dates though,negative
Goodmorning... Still tired. Day 2 of doing absolutely nothing.  Someone come take me somewhere? Kthnkz,negative
"Still coughing... If I don't approve till Monday, I'll have to see my MD",negative
It should rain now,negative
@kellywilliams4 On what..,positive
hating doing what she is doing right now,negative
goodnight  im still lol from the hangover,positive
Hey..! New record.  it's 4 in the morning and I STILL haven't fallen asleep!!,positive
"Well, Chase is working on Jimmy's farm today. I'm thinkin' he's gonna be beat tonight",positive
Due to a time crunch i didnt get to fly  hopefully mondayyy.,negative
@kellyvbrown I've been waiting for some plugins to update since 3.0 came out,negative
@tevi yes it is,negative
dead ipod,negative
fun service making shrimp and fish tacos,positive
@donlemoncnn he was saying how other journalists there were trying to get their news agencies to get them out b/c of the danger,negative
mom passed out last night at like 2 in the morning!!! i hope she doesnt have the swine flew!!!   well the swine flew to marion county,negative
"Lunch, lunch, lunch. Man, I feel like an older coworker who eat at 11 everyday because they got up at 5 a.m..",negative
as I'm working... inexplainably... just,positive
Going to watch a movie.. I'll be on later.    xo,positive
I am TOTALLY enjoying the rice I just cooked with my new Rice Steamer  hehe,positive
@Kayla_Sheree haha! I got more updates than you! Sucker!,positive
Coffee klatch in Wicked Park with HC. About to bake a very happy chocolate cake,positive
@JoePolitic they make your poop turn green.,positive
@pwts LOVED MEETING YOU TOM &amp; TIM! WISH I COULD'VE MET THE REST OF THE BAND. COME BACK TO CLEVELAND OHIO SOON!!,positive
"@DarkAngel808 Oh, you didn't see my convo earlier? I'm heading out to @Oceans808 with @Landmark808 &amp; @CandyMan808 for a video shoot!",positive
At a 15 in the rest room charging my phone.  i suck. Todays sucked..,negative
I miss Bristow  BEST Finance prof #US screwed?GM Mess  http://bit.ly/1yza2,negative
@julianahatfield  well i just had epiphanies while driving and listening to 'bed' if it makes you feel any better.. i got a lot of laughs,negative
got some serious and timely song writing to get done... time to crash,negative
Got my hair cut. more revision time,positive
Meeting tomorrow at 9am then Interview at 10:30,positive
feels a bit stressed... will do her licence on monday :-/ results of the exams next week uhhh,negative
@MariaSass I'm looking forward to learning more about you.I'm following you.,positive
@PaulHarriott The truth? What was your paypal again?,positive
"watching news, it is bad and Ihope tevez doesn't leave.Berbatov should stay too. Why can't news be more optimistic???",negative
$2 Miller Lite pints while the NUGGETS stomp the hornets. Hornet fans have to pay full price,positive
@vampyran Hey this is Zo'e,positive
@Natalieexox Nopeee she's not. She has an Aikedo Grading tomorrow,negative
"Work is so crap today,completely not in the mood and feet r playin up after bn out last night  not happy!",negative
my ipod died and i cant find the charger.,negative
"need to ride+run this morning. think the humidity is still low, thank god!!!",positive
mornin twitties... up making ringers lol.. till its time to get ready for church,positive
"@Lady_Twitster  I,ve taken it back to Poundstretcher !! It was terrible !!! Errgghhh",negative
@charlottemcfly physics it is then! Good luck with your geography revision  x,positive
doing girls stuff with my sister,positive
They just had to put my dog down,negative
@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,negative
She bout to a mil and aau brand new.   ~235~,negative
We just got back from Queen Creek. I was helping our cousins pack because they are moving to Florida tomorrow. Weak,negative
"just got home from work, trying to wind down for sleeping",positive
loving @lilyroseallen 's first album,positive
"@ReikoEoh  When you fall asleep at your kybrd, just don't hit the repeat key!",positive
"OK, invested 20 hours since Friday night on a complete overhaul of my LocalAdLink training site at http://AdLinkTraining.com. Off Monday",positive
bored  cant stop laughing at the bird .. making my tummy hurt,positive
@SFGuy67 - Oh No Chris!!!! I am so sorry!,negative
@iHaps that's bad  can they not just give you a new one?,negative
It's almost 12?,negative
Ugh. My nose is stuffy. This worries me cuz Justin's sick and I've been around him for the past 3 days. I better not have gotten it.,negative
"@StMustard Actually I have!  fun game, but difficult to master.",positive
Just got a full meal from QT. FOR FREE!,positive
wondering why would you be stuck in a pickle and continue to soak in the juice..leave ya all sour inside,positive
"Awwww, nuggets! @TonyKanaan is done for the day  His car is billowing smoke. #indycar",negative
Who has $290 to shell out for a Bonnaroo ticket? I'm selling it as soon as I get it on Monday.,positive
"Watching Gilmore Girls, still in Pjs=D Suppose I should start doing Biology revision soon....",negative
is having shitful sleep,negative
t.v. isnt working supposed to storm alllllll day,negative
Ok i am so sorry for all the people that have caught #ChrisFlu,negative
@lifelivedfully what happened?!,negative
"@conchordgirl Oh man!   Sorry to hear that...yes, rest up!",negative
"@patdryburgh haha not tonight, but thank you for remembering me. Maybe next week. Besides I have to catch up on tales of Wisteria!",positive
I WANT MY LAPTOP BACK,negative
@carhartl I've checked my nose already,positive
10 km time trial in the morning hoping for sub 40 min better get to bed and rest,positive
@albertsthings i have workkkkkk. and waiting on heaps of online shopping to come through. cant wait! but essay  have fun @ the gig tmr,positive
Catching the shows and rides at seaworld today...hooray for great weather...,positive
Wings shutout Pens last night and took away any momentom they had in the Stanley Cup Finals. I'm not ready for Detroit to win again.,negative
Nite... Gotta help cousin move in the morning.,negative
@tommcfly I am so curious about the new song.... I wish I could be there with you!,negative
"bruna, bruna, bruna!..  ... PÃ´, por que que com beetlejuice, beetlejuice, beetlejuice funciona? (sic) Ah, diabos, que cara chato! Â¬Â¬",negative
suddenly remembered that i have planned davids+isaw. DUDE. my memory is fail,negative
"Hanging with the fam. And i actually enjoy it. I think all of 'em r a lil tipsy tho. Lol headache btw, just came.  lol,again &lt;Sept.22&gt;",positive
http://bit.ly/3gXXq California girl gets dying wish to see movie 'Up'. Really sad but just in time,negative
@StevieDeMann hey! It's coming to the German stores tomorrow  But I still cuddle with my 3 G ;-),negative
My pictures not showing up now,negative
Getting off work... then going to work again @ 5... I want to ride my new bike  not work!,negative
stepping in her Josie and the Pussycats dress w/ that Day26&quot;Your Heels&quot; vibe.b'day &amp;1yr wedding anniversary celebration with her man!!!,positive
@Mom_30 no HS for you?  Wonder why. . . Mabry seems to like it most of the time esp if I wrap her in the MB and then put her in the HS,negative
"Going to school, If I had take the tests in the right day I would be on vacations right now  Argh...",negative
sitt&amp; reading every away message on dee husband page  dis twitter ish is a dub!!!,negative
@RiseAgainst show was fuckin awesome!!!  Highlight of my summer even though security confiscated my favorite knife and trashed it,negative
Anyone?,negative
"really need to go 'wogging', but ended up cleaning and tidying up room and stuff that i unpacked last night.",negative
"@RachelHayward I can tell ya what a job-seeker is. Me!!!!!  LOL (Sorry, couldn't resist.)",positive
"@jms_ my first exam was on a sat too, so i got two out of four being bad exams",negative
@backstreetboys  why did all of our votes drop like that ? now were not number one any more  #bsb,negative
has officially become one of those dorky girls that wants to spend every second with her boyfriend and is so disgustingly gushy and mushy,positive
@figmentations Cause it's fun!,positive
@bowwow614 I want some..,positive
if i stare at my phone hard enough maybe he will text me,negative
@JonathanRKnight u r selling urself short if only someone is gonna lose 1 eye u should be like shamu 1st 10 rows will get wet  xx,positive
Someone brought popcorn salt and i had no popcorn,negative
@carrot83 you r a good wife to be  didnt book my flight yet but will soon hopefully! xoxo,positive
"@pastapadre Packing here as well, i know i'm gonna forget something...",positive
Goodmorning  lol im tired but i have coffee to try to save the ddddddday!,positive
@ScruffyPanther just testing - just discovered you've metamorphosed!,positive
Weird how the new Safari 4 refuse to launch or/and scroll down pages today... Working fine at home though. Must be my system at work,negative
"ugh my computer wont let me go on any websites besides twitter, youtube &amp; google cuz of some antivirus shit! fckin text me",negative
@cameronb grats! tell us how it goes.,positive
"Thanks @rkymountainkid and @bncngoffthwlls, im going to post to @constantcontact. didnt know they were on here",positive
Thank you great tune.. Hope your having a good evening  RB via@Eros: &quot;@SwingingtoDJFox - This ones for you &quot; â« http://blip.fm/~7qjo4,positive
I wanna get crunk with randoms again. Just not as bad. Lol,negative
@NoRaptors i hate the beach too! And adventure island and busch gardens every weekend wasn't a bad thing  i lived like 20 minutes away.lol,positive
going to have lunch!!!,positive
@TillmanMill1ion if you like 2 laugh..have a good time..follow me..its just that simple,positive
More Shine-and see - she is super cute too  &quot;My sudden love is....&quot;  ? http://blip.fm/~7bqu3,positive
@GirlyCute thanks,positive
@slboval  It's all about the New York water isn't it,positive
please don't let tonight fall through!!!,positive
Just a little shake  #earthquake - back to editing.   http://yfrog.com/5ehrsj (via @joshcoxrun),positive
@CruciFire Thanks a lot! But wait! Does it really say so? The site runs on Dreamhost's servers! Such a problem shouldn't occur!,negative
@GallifreyReject You bit me,negative
@mukesh_malhotra @ECMODSHOW @Jake_Hird @burtonztweet @wildfirepr @LeilaMakki @katiesol @louisepb many thanks for retweets everyone,positive
i am very sad,negative
my mums has made put lightsabres away,negative
owww .  arm hurts !,negative
"@Izzy_Cullen  Awww,Nate Does come on But Hes to Busy To Sstay and Chat for an Hour!  ....",negative
is sat in Miss Randalls n dunt no wtf 2 do  Well bored,negative
"Tonights dinner will be: Pork chops, potatos, peas, yourshire pudding and gravy..... Scrummmyyyy!!!",positive
@jessicafarah poor my sicky poo sister!!!  whiskey and clo clo will make u fell better! Haha!,negative
"@stephtuma Or, perhaps, depending on your age, you have MY exact name",positive
watchin big brother,positive
@FEENIXNICOLE check your msn.. I sent you the new banner for the website tell me if you like via tweet i left my phone at home,negative
@mahafreed Damn. Google Translate doesn't work on Marathi.,negative
@ColinUdeLewis Twin! How was your bike ride? I'm in car on way to Omaha...treating myself w/ bit of tweet time  How R U??,positive
"@ak618 lol yeah my first time I went totally insane cuz I was so excited, a couple regulars got annoyed at me",negative
justin and i broke up,negative
@stewartcink Anti-GaTech bias!!!!!  Could be retribution for where you drove it on 18 in the Skins game.,positive
@waterchicklet  ahhh was on top of it for 1 day...I haven't eaten that great today   And going to a bbq 2nite...2morrow will be different!,negative
@TheMightyFoz My kitty SPG was a tuxedo cat,negative
Looks like 3.0 will have to wait till tomorrow,negative
Hmmm I dont really do enough 2 actually hav a twitter acc but boredom can make you do strange things. So hi to me  And a twitter I will!,positive
2 hours for investigating one TT ticket. 2 lines changed. Still failing to understand why it doesn't work before and work after...,negative
"i miss him. i really dont want to go to that sleepover party tomorrow, but autumn would kill me if i didnt.",negative
happy bday papii @chayra..,positive
"@soillodge yes, it will be. it's only Monday",negative
Getting ready to leave for work  today is going to be fabulous,positive
"Right, nighty night you set of stinking mother puss buckets",positive
is soooo tired but no chance of sleep untill at least midnight  let's hope the kids don't keep me awake again tonight like last night xxx,negative
it is not home time,negative
@shell115 Hello,positive
"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure...",negative
"@mortreport re: Favre...ugh, he clearly upgrades the QB for my Vikes (if healthy) but not sure I could handle him in purple",positive
Sitting here wondering why &quot;ED&quot; still has such a strong hold on me,negative
"Aw man  today was AWESOME! got on All the roller coasters,some twice, no lines, ate burgers, went to the mall... Alittle rainy and col ...",positive
"@DavidDaybreak 4 times!?! goodness! well, do enjoy!",positive
"My brother's playing online GTA IV, so I can't watch tv  Am I missing something? (except for 'silver' XD)",negative
@alexistar I don't have any music on here. Will rectify soon.  Got to get my boob out first!,positive
just finished watching the season final of the hills - I love Kristen,positive
I don't wanna go to therapy,negative
@aurelley so freakin cute!!! I'm in love with using cute little things on my keys too.... but I've run out of keys,negative
@deuhlig thanks for sharing,positive
wireless is down  my router is a saviour,negative
@BondServantLZ  i already updated,negative
OK Im outta here 4 the Night.. Tweet Dreamz &amp; hope you all have a Happy Monday,positive
I'm bored to death here in this city,negative
my cousin is leading the national anthem,positive
my card reader has been died,negative
@DateMeCT Thank you  Good luck on your date today,positive
@Hatz94 okay I will go take a look,positive
